Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_032877	10481	Wenzhou channeled applesnail virus 2	Wenzhou channeled applesnail virus 2, complete genome
NC_032892	8943	Wenzhou channeled applesnail virus 1	Wenzhou channeled applesnail virus 1, complete genome
NC_032827	11290	Wenzhou bivalvia virus 1	Wenzhou bivalvia virus 1, complete genome
NC_033079	9247	Wenling toga-like virus	Wenling toga-like virus, complete genome
NC_032854	9041	Wenling picorna-like virus 9	Wenling picorna-like virus 9, complete genome
NC_032844	9299	Wenling picorna-like virus 8	Wenling picorna-like virus 8, complete genome
NC_032126	7768	Livupivirus A	Livupivirus A, complete genome
NC_032148	1278	Wuhan large pig roundworm virus 1	Wuhan large pig roundworm virus 1, segment Seg 2
NC_032146	1477	Wuhan insect virus 23	Wuhan insect virus 23, segment Seg 1
NC_032147	1381	Wuhan insect virus 23	Wuhan insect virus 23, segment Seg 2
NC_032145	799	Wenling crustacean virus 9	Wenling crustacean virus 9, segment Seg 3
NC_032815	10033	Wenling picorna-like virus 6	Wenling picorna-like virus 6, complete genome
NC_032834	8467	Wenling picorna-like virus 5	Wenling picorna-like virus 5, complete genome
NC_032799	8837	Wenling picorna-like virus 4	Wenling picorna-like virus 4, complete genome
NC_032791	10236	Wenling picorna-like virus 3	Wenling picorna-like virus 3, complete genome
NC_032803	9155	Wenling picorna-like virus 1	Wenling picorna-like virus 1, complete genome
NC_032763	24854	Wenling nido-like virus 1	Wenling nido-like virus 1, complete genome
NC_033098	10025	Wenling hepe-like virus 4	Wenling hepe-like virus 4, complete genome
NC_033086	11515	Wenling hepe-like virus 3	Wenling hepe-like virus 3, complete genome
NC_033130	12441	Wenling hepe-like virus 2	Wenling hepe-like virus 2, complete genome
NC_033115	10962	Wenling hepe-like virus 1	Wenling hepe-like virus 1, complete genome
NC_032810	9716	Wenling crustacean virus 6	Wenling crustacean virus 6, complete genome
NC_032839	10528	Wenling crustacean virus 5	Wenling crustacean virus 5, complete genome
NC_032864	9291	Wenling crustacean virus 4	Wenling crustacean virus 4, complete genome
NC_032143	6691	Wenling crustacean virus 9	Wenling crustacean virus 9, segment Seg 1
NC_032858	9887	Wenling crustacean virus 3	Wenling crustacean virus 3, complete genome
NC_032830	8664	Wenling crustacean virus 2	Wenling crustacean virus 2, complete genome
NC_032802	11119	Wenling crustacean virus 15	Wenling crustacean virus 15, complete genome
NC_032781	11560	Wenling crustacean virus 11	Wenling crustacean virus 11, complete genome
NC_032144	3267	Wenling crustacean virus 9	Wenling crustacean virus 9, segment Seg 2
NC_032141	1041	Shahe heteroptera virus 3	Shahe heteroptera virus 3, segment Seg 3
NC_032138	1615	Hubei partiti-like virus 11	Hubei partiti-like virus 11, segment Seg 2
NC_032739	11938	Wenling crustacean virus 10	Wenling crustacean virus 10, complete genome
NC_033065	10183	Wenling crustacean virus 1	Wenling crustacean virus 1, complete genome
NC_032978	12155	Shuangao insect virus 8	Shuangao insect virus 8, complete genome
NC_032994	9854	Shuangao insect virus 12	Shuangao insect virus 12, complete genome
NC_033182	13283	Shayang ascaridia galli virus 2	Shayang ascaridia galli virus 2, complete genome
NC_032863	9126	Shahe picorna-like virus 9	Shahe picorna-like virus 9, complete genome
NC_032871	10076	Shahe picorna-like virus 7	Shahe picorna-like virus 7, complete genome
NC_032140	6758	Shahe heteroptera virus 3	Shahe heteroptera virus 3, segment Seg 1
NC_032876	8831	Shahe picorna-like virus 6	Shahe picorna-like virus 6, complete genome
NC_032888	8658	Shahe picorna-like virus 5	Shahe picorna-like virus 5, complete genome
NC_032904	8860	Shahe picorna-like virus 4	Shahe picorna-like virus 4, complete genome
NC_032946	8352	Shahe picorna-like virus 3	Shahe picorna-like virus 3, complete genome
NC_032142	3277	Shahe heteroptera virus 3	Shahe heteroptera virus 3, segment Seg 2
NC_032139	1743	Hubei partiti-like virus 11	Hubei partiti-like virus 11, segment Seg 1
NC_032838	9272	Shahe picorna-like virus 2	Shahe picorna-like virus 2, complete genome
NC_032935	10360	Shahe picorna-like virus 14	Shahe picorna-like virus 14, complete genome
NC_032894	9077	Shahe picorna-like virus 13	Shahe picorna-like virus 13, complete genome
NC_032928	9081	Shahe picorna-like virus 11	Shahe picorna-like virus 11, complete genome
NC_032898	8281	Shahe picorna-like virus 10	Shahe picorna-like virus 10, complete genome
NC_032940	8922	Shahe picorna-like virus 1	Shahe picorna-like virus 1, complete genome
NC_032822	10297	Shahe isopoda virus 2	Shahe isopoda virus 2, complete genome
NC_032829	10120	Shahe isopoda virus 1	Shahe isopoda virus 1, complete genome
NC_032809	8739	Shahe heteroptera virus 4	Shahe heteroptera virus 4, complete genome
NC_032952	10019	Shahe heteroptera virus 1	Shahe heteroptera virus 1, complete genome
NC_032798	15783	Shahe endorna-like virus 1	Shahe endorna-like virus 1, complete genome
NC_033173	8687	Sanxia water strider virus 9	Sanxia water strider virus 9, complete genome
NC_033194	9166	Sanxia water strider virus 8	Sanxia water strider virus 8, complete genome
NC_033180	10194	Sanxia water strider virus 7	Sanxia water strider virus 7, complete genome
NC_032136	2518	Hubei odonate virus 9	Hubei odonate virus 9, segment Seg 2
NC_032137	1582	Hubei odonate virus 9	Hubei odonate virus 9, segment seg 3
NC_032153	2844	Hubei odonate virus 8	Hubei odonate virus 8, segment Seg 2
NC_033189	10153	Sanxia water strider virus 21	Sanxia water strider virus 21, complete genome
NC_032135	6442	Hubei odonate virus 9	Hubei odonate virus 9, segment Seg 1
NC_033241	8114	Sanxia picorna-like virus 9	Sanxia picorna-like virus 9, complete genome
NC_033262	8673	Sanxia picorna-like virus 5	Sanxia picorna-like virus 5, complete genome
NC_033246	8903	Sanxia picorna-like virus 3	Sanxia picorna-like virus 3, complete genome
NC_033203	9058	Sanxia picorna-like virus 2	Sanxia picorna-like virus 2, complete genome
NC_033266	8978	Sanxia picorna-like virus 13	Sanxia picorna-like virus 13, complete genome
NC_033221	8342	Sanxia picorna-like virus 11	Sanxia picorna-like virus 11, complete genome
NC_032151	6413	Hubei odonate virus 8	Hubei odonate virus 8, segment L
NC_033235	9596	Sanxia picorna-like virus 10	Sanxia picorna-like virus 10, complete genome
NC_033213	9301	Sanxia picorna-like virus 1	Sanxia picorna-like virus 1, complete genome
NC_033168	11270	Sanxia atyid shrimp virus 4	Sanxia atyid shrimp virus 4, complete genome
NC_033228	8772	Sanxia atyid shrimp virus 3	Sanxia atyid shrimp virus 3, complete genome
NC_033185	10445	Sanxia atyid shrimp virus 2	Sanxia atyid shrimp virus 2, complete genome
NC_032869	11157	Sanxia atyid shrimp virus 1	Sanxia atyid shrimp virus 1, complete genome
NC_032152	1580	Hubei odonate virus 8	Hubei odonate virus 8, segment Seg 3
NC_032161	4030	Hubei insect virus 2	Hubei insect virus 2, segment 2
NC_032999	10069	Jingmen picorna-like virus	Jingmen picorna-like virus, complete genome
NC_032765	10976	Hubei virga-like virus 9	Hubei virga-like virus 9, complete genome
NC_033247	9480	Hubei virga-like virus 7	Hubei virga-like virus 7, complete genome
NC_033174	14639	Hubei virga-like virus 23	Hubei virga-like virus 23, complete genome
NC_033192	10072	Hubei virga-like virus 21	Hubei virga-like virus 21, complete genome
NC_033158	10650	Hubei virga-like virus 2	Hubei virga-like virus 2, complete genome
NC_033222	9481	Hubei virga-like virus 17	Hubei virga-like virus 17, complete genome
NC_032824	13549	Hubei virga-like virus 16	Hubei virga-like virus 16, complete genome
NC_033211	10423	Hubei virga-like virus 15	Hubei virga-like virus 15, complete genome
NC_033269	8318	Hubei virga-like virus 12	Hubei virga-like virus 12, complete genome
NC_032162	3744	Hubei insect virus 2	Hubei insect virus 2, segment 3
NC_032164	2920	Hubei insect virus 2	Hubei insect virus 2, segment 6
NC_033165	9141	Hubei virga-like virus 1	Hubei virga-like virus 1, complete genome
NC_033081	8176	Chicken calicivirus	Chicken calicivirus, complete genome
NC_033125	9621	Beihai tiger crab virus 1	Beihai tiger crab virus 1, complete genome
NC_032977	9538	Beihai sphaeromadae virus 1	Beihai sphaeromadae virus 1, complete genome
NC_032165	2010	Hubei insect virus 2	Hubei insect virus 2, segment 8
NC_032166	1666	Hubei insect virus 2	Hubei insect virus 2, segment 9
NC_032169	2661	Hubei insect virus 2	Hubei insect virus 2, segment 7
NC_033176	224064	Cynomolgus cytomegalovirus	Cynomolgus cytomegalovirus, complete genome
NC_032987	15099	Rat arterivirus 1	Rat arterivirus 1, complete genome
NC_032730	28763	Lucheng Rn rat coronavirus	Lucheng Rn rat coronavirus, complete genome
NC_032755	9316	Changjiang picorna-like virus 3	Changjiang picorna-like virus 3, complete genome
NC_032737	10610	Changjiang picorna-like virus 16	Changjiang picorna-like virus 16, complete genome
NC_032167	4583	Hubei insect virus 2	Hubei insect virus 2, segment 1
NC_032170	1572	Hubei insect virus 2	Hubei insect virus 2, segment 10
NC_032816	9551	Changjiang picorna-like virus 15	Changjiang picorna-like virus 15, complete genome
NC_032773	9296	Changjiang picorna-like virus 14	Changjiang picorna-like virus 14, complete genome
NC_032879	8410	Changjiang picorna-like virus 13	Changjiang picorna-like virus 13, complete genome
NC_032779	8774	Changjiang picorna-like virus 12	Changjiang picorna-like virus 12, complete genome
NC_032833	8031	Changjiang picorna-like virus 11	Changjiang picorna-like virus 11, complete genome
NC_032823	8158	Changjiang picorna-like virus 10	Changjiang picorna-like virus 10, complete genome
NC_032168	3567	Hubei insect virus 2	Hubei insect virus 2, segment 4
NC_032160	1591	Hubei diptera virus 3	Hubei diptera virus 3, segment Seg 3
NC_033039	10473	Changjiang hepe-like virus 1	Changjiang hepe-like virus 1, complete genome
NC_032801	9743	Changjiang crawfish virus 6	Changjiang crawfish virus 6, complete genome
NC_032740	9481	Changjiang crawfish virus 5	Changjiang crawfish virus 5, complete genome
NC_032868	8375	Changjiang crawfish virus 3	Changjiang crawfish virus 3, complete genome
NC_032850	8712	Changjiang crawfish virus 2	Changjiang crawfish virus 2, complete genome
NC_032874	9103	Changjiang crawfish virus 1	Changjiang crawfish virus 1, complete genome
NC_033175	8223	Beihai zhaovirus-like virus 4	Beihai zhaovirus-like virus 4, complete genome
NC_033159	9086	Beihai zhaovirus-like virus 2	Beihai zhaovirus-like virus 2, complete genome
NC_032749	8652	Changjiang picorna-like virus 9	Changjiang picorna-like virus 9, complete genome
NC_032855	8685	Changjiang picorna-like virus 8	Changjiang picorna-like virus 8, complete genome
NC_032860	8266	Changjiang picorna-like virus 7	Changjiang picorna-like virus 7, complete genome
NC_032794	8489	Changjiang picorna-like virus 6	Changjiang picorna-like virus 6, complete genome
NC_032845	9182	Changjiang picorna-like virus 5	Changjiang picorna-like virus 5, complete genome
NC_032163	3515	Hubei insect virus 2	Hubei insect virus 2, segment 5
NC_032157	1694	Hubei diptera virus 18	Hubei diptera virus 18, segment Seg 2
NC_032761	8923	Changjiang picorna-like virus 4	Changjiang picorna-like virus 4, complete genome
NC_033204	13693	Hubei endorna-like virus 1	Hubei endorna-like virus 1, complete genome
NC_033034	13000	Hubei diptera virus 9	Hubei diptera virus 9, complete genome
NC_033055	12513	Hubei diptera virus 11	Hubei diptera virus 11, complete genome
NC_033103	13161	Hubei diptera virus 10	Hubei diptera virus 10, complete genome
NC_032774	8860	Hubei diptera virus 1	Hubei diptera virus 1, complete genome
NC_032982	11670	Hubei dimarhabdovirus virus 3	Hubei dimarhabdovirus virus 3, complete genome
NC_033006	11332	Hubei dimarhabdovirus virus 2	Hubei dimarhabdovirus virus 2, complete genome
NC_033070	11145	Hubei dimarhabdovirus virus 1	Hubei dimarhabdovirus virus 1, complete genome
NC_032922	13741	Hubei coleoptera virus 3	Hubei coleoptera virus 3, complete genome
NC_033054	11668	Hubei coleoptera virus 2	Hubei coleoptera virus 2, complete genome
NC_033030	10107	Hubei coleoptera virus 1	Hubei coleoptera virus 1, complete genome
NC_033015	11280	Hubei chuvirus-like virus 3	Hubei chuvirus-like virus 3, complete genome
NC_032158	6742	Hubei diptera virus 3	Hubei diptera virus 3, segment Seg 1
NC_032905	9828	Hubei arthropod virus 3	Hubei arthropod virus 3, complete genome
NC_032800	9539	Hubei arthropod virus 1	Hubei arthropod virus 1, complete genome
NC_033326	9312	Hubei Wuhan insect virus 9	Hubei Wuhan insect virus 9, segment 1
NC_032912	9356	Hubei Poty-like virus 1	Hubei Poty-like virus 1, complete genome
NC_032159	3763	Hubei diptera virus 3	Hubei diptera virus 3, segment Seg 2
NC_032156	1742	Hubei diptera virus 18	Hubei diptera virus 18, segment Seg 1
NC_032881	9339	Changping earthworm virus 1	Changping earthworm virus 1, complete genome
NC_032956	11349	Hubei odonate virus 11	Hubei odonate virus 11, complete genome
NC_032944	14440	Hubei odonate virus 10	Hubei odonate virus 10, complete genome
NC_033200	8313	Hubei odonate virus 1	Hubei odonate virus 1, complete genome
NC_033014	9074	Hubei mosquito virus 1	Hubei mosquito virus 1, complete genome
NC_032907	13109	Hubei lepidoptera virus 2	Hubei lepidoptera virus 2, complete genome
NC_032736	8267	Hubei leech virus 4	Hubei leech virus 4, complete genome
NC_032745	8848	Hubei leech virus 3	Hubei leech virus 3, complete genome
NC_032916	10234	Hubei picorna-like virus 17	Hubei picorna-like virus 17, complete genome
NC_032780	9100	Hubei picorna-like virus 16	Hubei picorna-like virus 16, complete genome
NC_032757	9910	Hubei picorna-like virus 15	Hubei picorna-like virus 15, complete genome
NC_032172	3220	Beihai noda-like virus 18	Beihai noda-like virus 18, complete genome
NC_023484	1359	Sida yellow vein China alphasatellite	Sida yellow vein China alphasatellite, complete genome
NC_023488	2006	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 5
NC_033112	9435	Hubei picorna-like virus 14	Hubei picorna-like virus 14, complete genome
NC_033126	8848	Hubei picorna-like virus 13	Hubei picorna-like virus 13, complete genome
NC_032772	9598	Hubei picorna-like virus 12	Hubei picorna-like virus 12, complete genome
NC_023485	7435	Hibiscus bacilliform virus GD1	Hibiscus bacilliform virus GD1, complete genome
NC_023486	3649	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 2
NC_023489	1746	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 7
NC_032778	8974	Hubei picorna-like virus 11	Hubei picorna-like virus 11, complete genome
NC_033214	8307	Hubei picorna-like virus 10	Hubei picorna-like virus 10, complete genome
NC_033224	9635	Hubei picorna-like virus 1	Hubei picorna-like virus 1, complete genome
NC_032849	10903	Hubei orthoptera virus 5	Hubei orthoptera virus 5, complete genome
NC_032738	10327	Hubei orthoptera virus 3	Hubei orthoptera virus 3, complete genome
NC_032766	9555	Hubei orthoptera virus 1	Hubei orthoptera virus 1, complete genome
NC_033232	12044	Hubei odonate virus 7	Hubei odonate virus 7, complete genome
NC_033071	12535	Hubei odonate virus 6	Hubei odonate virus 6, complete genome
NC_033206	9820	Hubei odonate virus 5	Hubei odonate virus 5, complete genome
NC_033243	9596	Hubei odonate virus 4	Hubei odonate virus 4, complete genome
NC_033102	10046	Hubei odonate virus 3	Hubei odonate virus 3, complete genome
NC_033061	10126	Hubei odonate virus 2	Hubei odonate virus 2, complete genome
NC_023487	3286	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 4
NC_023490	1504	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 9
NC_033050	8763	Hubei picorna-like virus 5	Hubei picorna-like virus 5, complete genome
NC_032771	9773	Hubei picorna-like virus 49	Hubei picorna-like virus 49, complete genome
NC_032985	9702	Hubei picorna-like virus 48	Hubei picorna-like virus 48, complete genome
NC_032752	10106	Hubei picorna-like virus 47	Hubei picorna-like virus 47, complete genome
NC_032993	10908	Hubei picorna-like virus 45	Hubei picorna-like virus 45, complete genome
NC_032748	9565	Hubei picorna-like virus 44	Hubei picorna-like virus 44, complete genome
NC_033136	9758	Hubei picorna-like virus 43	Hubei picorna-like virus 43, complete genome
NC_032769	9129	Hubei picorna-like virus 42	Hubei picorna-like virus 42, complete genome
NC_033238	8964	Hubei picorna-like virus 41	Hubei picorna-like virus 41, complete genome
NC_032756	8842	Hubei picorna-like virus 40	Hubei picorna-like virus 40, complete genome
NC_033087	8604	Hubei picorna-like virus 4	Hubei picorna-like virus 4, complete genome
NC_032790	8821	Hubei picorna-like virus 39	Hubei picorna-like virus 39, complete genome
NC_033025	9836	Hubei picorna-like virus 38	Hubei picorna-like virus 38, complete genome
NC_033201	9789	Hubei picorna-like virus 37	Hubei picorna-like virus 37, complete genome
NC_032770	9856	Hubei picorna-like virus 36	Hubei picorna-like virus 36, complete genome
NC_023491	3737	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 1
NC_023493	1841	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 6
NC_033195	9266	Hubei picorna-like virus 35	Hubei picorna-like virus 35, complete genome
NC_033040	9185	Hubei picorna-like virus 34	Hubei picorna-like virus 34, complete genome
NC_033210	9658	Hubei picorna-like virus 33	Hubei picorna-like virus 33, complete genome
NC_032776	10308	Hubei picorna-like virus 29	Hubei picorna-like virus 29, complete genome
NC_033099	10061	Hubei picorna-like virus 28	Hubei picorna-like virus 28, complete genome
NC_033046	10184	Hubei picorna-like virus 27	Hubei picorna-like virus 27, complete genome
NC_032979	8938	Hubei picorna-like virus 26	Hubei picorna-like virus 26, complete genome
NC_033190	9235	Hubei picorna-like virus 25	Hubei picorna-like virus 25, complete genome
NC_033227	8253	Hubei picorna-like virus 22	Hubei picorna-like virus 22, complete genome
NC_033218	9668	Hubei picorna-like virus 8	Hubei picorna-like virus 8, complete genome
NC_023492	3503	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 3
NC_023494	1584	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 8
NC_033160	9186	Hubei picorna-like virus 79	Hubei picorna-like virus 79, complete genome
NC_033418	10182	Wuhan coneheads virus 1	Wuhan coneheads virus 1, complete genome
NC_033425	9956	Wuhan arthropod virus 3	Wuhan arthropod virus 3, complete genome
NC_033437	9876	Wuhan arthropod virus 2	Wuhan arthropod virus 2, complete genome
NC_033421	12209	Wuhan arthropod virus 1	Wuhan arthropod virus 1, complete genome
NC_033436	9903	Wuchan romanomermis nematode virus 2	Wuchan romanomermis nematode virus 2, complete genome
NC_033419	14984	Wuchan romanomermis nematode virus 1	Wuchan romanomermis nematode virus 1, complete genome
NC_033455	9733	Wuhan insect virus 13	Wuhan insect virus 13, complete genome
NC_033456	8999	Biomphalaria virus 2	Biomphalaria virus 2, complete genome
NC_033457	15441	Wuhan insect virus 19	Wuhan insect virus 19, complete genome
NC_033473	12473	Wuhan insect virus 14	Wuhan insect virus 14, complete genome
NC_033460	9952	Wuhan insect virus 11	Wuhan insect virus 11, complete genome
NC_033475	9939	Wuhan insect virus 10	Wuhan insect virus 10, complete genome
NC_033458	11226	Wuhan house centipede virus 3	Wuhan house centipede virus 3, complete genome
NC_023495	1185	Inachis io cypovirus 2	Inachis io cypovirus 2, segment 10
NC_003639	1009	Milk vetch dwarf C2 alphasatellite	Milk vetch dwarf C2 alphasatellite, complete genome
NC_032682	1723	Indian encephalitis associated cyclovirus	Indian encephalitis associated cyclovirus, complete genome
NC_032208	3049	Hubei sobemo-like virus 15	Hubei sobemo-like virus 15, complete genome
NC_023496	7596	Saimiri sciureus papillomavirus 1	Saimiri sciureus papillomavirus 1, complete genome
NC_032122	4208	Beihai permutotetra-like virus 2	Beihai permutotetra-like virus 2, complete genome
NC_032252	2566	Hubei sobemo-like virus 14	Hubei sobemo-like virus 14, complete genome
NC_033459	12965	Wuhan house centipede virus 2	Wuhan house centipede virus 2, complete genome
NC_033469	10310	Wuhan house centipede virus 1	Wuhan house centipede virus 1, complete genome
NC_032726	5695	Beihai tombus-like virus 19	Beihai tombus-like virus 19, complete genome
NC_033461	16121	Wuhan heteroptera virus 1	Wuhan heteroptera virus 1, complete genome
NC_033462	9096	Wuhan fly virus 4	Wuhan fly virus 4, complete genome
NC_033423	208501	Lymphocystis disease virus Sa	Lymphocystis disease virus Sa, complete genome
NC_033553	15446	Kibale red colobus virus 1	Kibale red colobus virus 1, complete genome
NC_036579	142925	Ictalurid herpesvirus 2	Ictalurid herpesvirus 2, complete genome
NC_036607	8914	Calla lily chlorotic spot virus	Calla lily chlorotic spot virus, segment L
NC_036586	20106	Dianke virus	Dianke virus, complete genome
NC_036582	293123	Flamingopox virus FGPVKD09	Flamingopox virus FGPVKD09, complete genome
NC_036590	13156	Rosellinia necatrix hypovirus 1	Rosellinia necatrix hypovirus 1, complete genome
NC_036585	9283	Armigeres iflavirus	Armigeres iflavirus, complete genome
NC_036595	18222	Aeropyrum globular virus 1	Aeropyrum globular virus 1, complete genome
NC_032240	2750	Hubei sobemo-like virus 13	Hubei sobemo-like virus 13, complete genome
NC_032182	2543	Hubei sobemo-like virus 12	Hubei sobemo-like virus 12, complete genome
NC_036593	648	Porcine circovirus-like virus P1	Porcine circovirus-like virus P1, complete genome
NC_036597	8999	Rice hoja blanca tenuivirus	Rice hoja blanca tenuivirus, segment RNA1
NC_018506	8050	Bluegill picornavirus	Bluegill picornavirus, complete genome
NC_018504	123876	Apocheima cinerarium nucleopolyhedrovirus	Apocheima cinerarium nucleopolyhedrovirus, complete genome
NC_018519	17798	Blueberry virus A	Blueberry virus A, complete genome
NC_036802	9693	Saffron latent virus	Saffron latent virus, complete genome
NC_018570	10303	Macrobrachium rosenbergii Taihu virus	Macrobrachium rosenbergii Taihu virus, complete genome
NC_018575	8344	Crocuta crocuta papillomavirus 1	Crocuta crocuta papillomavirus 1, complete genome
NC_032189	2803	Hubei sobemo-like virus 11	Hubei sobemo-like virus 11, complete genome
NC_032199	2850	Hubei sobemo-like virus 10	Hubei sobemo-like virus 10, complete genome
NC_018572	9847	Caladenia virus A	Caladenia virus A, complete genome
NC_037051	9500	Hyacinth mosaic virus	Hyacinth mosaic virus, complete genome
NC_037057	181035	Dishui lake phycodnavirus 1	Dishui lake phycodnavirus 1, complete genome
NC_018615	11634	Eilat virus	Eilat virus, complete genome
NC_018613	8877	Rhizosolenia setigera RNA virus 01	Rhizosolenia setigera RNA virus 01, complete genome
NC_018629	11902	Ikoma lyssavirus	Ikoma lyssavirus, complete genome
NC_018705	10943	Ntaya virus	Ntaya virus, complete genome
NC_034511	12104	Qalyub orthonairovirus	Qalyub orthonairovirus, segment L
NC_034520	12004	Dera Ghazi Khan orthonairovirus	Dera Ghazi Khan orthonairovirus, segment L
NC_034561	11806	Clo Mor virus	Clo Mor virus, segment L
NC_032207	3936	Hubei sobemo-like virus 1	Hubei sobemo-like virus 1, complete genome
NC_032241	3034	Hubei noda-like virus 17	Hubei noda-like virus 17, complete genome
NC_034548	11355	Oita virus	Oita virus, complete genome
NC_032224	4213	Hubei polero-like virus 1	Hubei polero-like virus 1, complete genome
NC_032225	2252	Hubei narna-like virus 18	Hubei narna-like virus 18, complete genome
NC_034545	10941	Mount Elgon bat virus	Mount Elgon bat virus, complete genome
NC_034546	13141	Sweetwater Branch virus	Sweetwater Branch virus, complete genome
NC_034387	12081	Nairobi sheep disease virus	Nairobi sheep disease virus, segment L
NC_034455	15596	Kibale red colobus virus 2	Kibale red colobus virus 2, complete genome
NC_034442	9760	Pegivirus K	Pegivirus K, complete genome
NC_032231	4971	Hubei mosquito virus 4	Hubei mosquito virus 4, complete genome
NC_034446	147346	Ateline alphaherpesvirus 1	Ateline alphaherpesvirus 1, complete genome
NC_034502	12132	Farallon virus	Farallon virus, segment L
NC_034443	11450	Le Dantec virus	Le Dantec virus, complete genome
NC_034451	11528	Kern Canyon virus	Kern Canyon virus, complete genome
NC_034454	10863	Fukuoka virus	Fukuoka virus, complete genome
NC_034449	13205	Parry Creek virus	Parry Creek virus, complete genome
NC_034448	12957	Mosqueiro virus	Mosqueiro virus, complete genome
NC_034450	13209	Kamese virus	Kamese virus, complete genome
NC_034447	13104	Hart Park virus	Hart Park virus, complete genome
NC_023498	62466	Mycobacterium phage Validus	Mycobacterium phage Validus, complete genome
NC_023500	43301	Staphylococcus phage StauST398-5	Staphylococcus phage StauST398-5, complete genome
NC_023501	159590	Bacillus phage BPS10C	Bacillus phage BPS10C, complete genome
NC_023502	109558	Rhizobium phage vB_RleS_L338C	Rhizobium phage vB_RleS_L338C, complete genome
NC_023499	42906	Staphylococcus phage StauST398-4	Staphylococcus phage StauST398-4, complete genome
NC_034617	8541	Harrier picornavirus 1	Harrier picornavirus 1, complete genome
NC_034625	32735	Sulfolobus islandicus rod-shaped virus 10	Sulfolobus islandicus rod-shaped virus 10, complete genome
NC_032259	3739	Hubei lepidoptera virus 3	Hubei lepidoptera virus 3, segment 3
NC_032261	1896	Hubei lepidoptera virus 3	Hubei lepidoptera virus 3, segment 6
NC_034618	207914	Ranid herpesvirus 3	Ranid herpesvirus 3, complete genome
NC_034626	29923	Bat mastadenovirus WIV17	Bat mastadenovirus WIV17, complete genome
NC_034622	8349	Alfalfa virus S	Alfalfa virus S, complete genome
NC_034620	36391	Sulfolobus islandicus rod-shaped virus 9	Sulfolobus islandicus rod-shaped virus 9, complete genome
NC_034623	36493	Sulfolobus islandicus rod-shaped virus 8	Sulfolobus islandicus rod-shaped virus 8, complete genome
NC_034619	34190	Sulfolobus islandicus rod-shaped virus 7	Sulfolobus islandicus rod-shaped virus 7, complete genome
NC_034627	35439	Sulfolobus islandicus rod-shaped virus 6	Sulfolobus islandicus rod-shaped virus 6, complete genome
NC_034621	36306	Sulfolobus islandicus rod-shaped virus 5	Sulfolobus islandicus rod-shaped virus 5, complete genome
NC_034628	35035	Sulfolobus islandicus rod-shaped virus 4	Sulfolobus islandicus rod-shaped virus 4, complete genome
NC_032263	877	Hubei lepidoptera virus 3	Hubei lepidoptera virus 3, segment 10
NC_032264	4104	Hubei lepidoptera virus 3	Hubei lepidoptera virus 3, segment 2
NC_034624	33356	Sulfolobus islandicus rod-shaped virus 11	Sulfolobus islandicus rod-shaped virus 11, complete genome
NC_034835	9428	Longan witches broom-associated virus	Longan witches broom-associated virus, complete genome
NC_034972	27682	Coronavirus AcCoV-JC34	Coronavirus AcCoV-JC34, complete genome
NC_034976	28487	Goat torovirus	Goat torovirus, complete genome
NC_034971	8216	Canine kobuvirus	Canine kobuvirus, complete genome
NC_034973	9445	Aphis glycines virus 3	Aphis glycines virus 3, complete genome
NC_034968	14964	Avian paramyxovirus 15	Avian paramyxovirus 15, complete genome
NC_035110	8136	Fur seal picorna-like virus	Fur seal picorna-like virus, complete genome
NC_035071	20414	Apis flavivirus	Apis flavivirus, complete genome
NC_035072	29812	Bat mastadenovirus WIV18	Bat mastadenovirus WIV18, complete genome
NC_023573	142094	Staphylococcus phage phiSA12	Staphylococcus phage phiSA12, complete genome
NC_023583	45696	Pseudomonas phage TL	Pseudomonas phage TL, complete genome
NC_023586	8460	Ralstonia phage 1 NP-2014	Ralstonia phage 1 NP-2014, complete genome
NC_023548	39651	Citrobacter phage CR8	Citrobacter phage CR8, complete genome
NC_023568	246964	Vibrio phage VH7D	Vibrio phage VH7D, complete genome
NC_032265	3292	Hubei lepidoptera virus 3	Hubei lepidoptera virus 3, segment 4
NC_032266	1814	Hubei lepidoptera virus 3	Hubei lepidoptera virus 3, segment 7
NC_023576	39207	Citrobacter phage CR44b	Citrobacter phage CR44b, complete genome
NC_023595	41687	Enterococcus phage IME_EF3	Enterococcus phage IME_EF3, complete genome
NC_023592	8176	Haloarcula hispanica pleomorphic virus 2	Haloarcula hispanica pleomorphic virus 2, complete genome
NC_023575	45550	Pseudomonas phage vB_PaeP_Tr60_Ab31	Pseudomonas phage vB_PaeP_Tr60_Ab31, complete genome
NC_023585	48775	Sulfolobus monocaudavirus SMV1	Sulfolobus monocaudavirus SMV1, complete genome
NC_023608	42093	Salmonella phage vB_SenS-Ent2	Salmonella phage vB_SenS-Ent2, complete genome
NC_023610	218339	Erwinia phage PhiEaH1	Erwinia phage PhiEaH1, complete genome
